term,grammar_category,polarity,polarity_target,polarity_classification
controlado,Adj,1.0,N0,JALC
controlador,Adj,-1.0,N0,MAN
controlar,V,1.0,N0:N1,MAN
controversia,N,-1.0,N0,MAN
controverso,Adj,-1.0,N0,MAN
controvertido,Adj,-1.0,N0,JALC
contumaz,Adj,-1.0,N0,JALC
contundencia,N,-1.0,N0,MAN
contundente,Adj,-1.0,N0,MAN
contundido,Adj,-1.0,N0,JALC
contuso,Adj,-1.0,N0,JALC
convencido,Adj,0.0,N0,MAN
conversa fiada,N,1.0,N0,MAN
conversadeiro,Adj,0.0,N0,MAN
conversador,Adj,0.0,N0,MAN
convertido,Adj,0.0,N0,MAN
conviccao,N,1.0,N0,MAN
convicto,Adj,0.0,N0,MAN
convidativo,Adj,1.0,N0,JALC
convincente,Adj,1.0,N0,MAN
convivente,Adj,1.0,N0,MAN
convulsivo,Adj,-1.0,N0,JALC
cooperador,Adj,1.0,N0,MAN
cooperante,Adj,1.0,N0,MAN
cooperativista,Adj,0.0,N0,MAN
coquete,Adj,-1.0,N0,MAN
corado,Adj,0.0,N0,MAN
coragem,N,1.0,N0,MAN
corajoso,Adj,1.0,N0,MAN
corcovado,Adj,-1.0,N0,MAN
corcunda,Adj,-1.0,N0,MAN
cordato,Adj,1.0,N0,MAN
cordeiro,Adj,0.0,N0,MAN
cordial,Adj,1.0,N0,MAN
cordialidade,N,1.0,N0,MAN
cornudo,Adj,-1.0,N0,MAN
cornuto,Adj,-1.0,N0,MAN
corporativista,Adj,0.0,N0,MAN
corpulento,Adj,0.0,N0,MAN
correcao,N,1.0,N0,MAN
correccao,N,1.0,N0,MAN
correcto,Adj,1.0,N0,MAN
correr a toque de caixa,IDIOM,-1.0,N0,MAN
correto,Adj,1.0,N0,JALC
corrido,Adj,-1.0,N0,JALC
corrigir,V,1.0,N0:N1,MAN
corriqueiro,Adj,-1.0,N0,MAN
corroer-se,V,-1.0,N0:N1,MAN
corroer,V,-1.0,N0:N1,MAN
corromper,V,-1.0,N0:N1,MAN
corrompido,Adj,-1.0,N0,JALC
corrosivo,Adj,-1.0,N0,JALC
corrupcao,N,-1.0,N0,MAN
corruptivel,Adj,-1.0,N0,MAN
corruptivo,Adj,-1.0,N0,MAN
corrupto,Adj,-1.0,N0,MAN
corruptor,Adj,-1.0,N0,MAN
cortado,Adj,-1.0,N0,JALC
cortar na casaca de,IDIOM,-1.0,N0:N1,MAN
cortar o pio a,IDIOM,1.0,N0:N1,MAN
cortejado,Adj,0.0,N0,JALC
cortes,Adj,1.0,N0,MAN
cortesao,Adj,1.0,N0,MAN
cortesia,N,1.0,N0,MAN
coruja,Adj,0.0,N0,JALC
coscuvilheiro,Adj,-1.0,N0,JALC
cosmico,Adj,0.0,N0,JALC
cosmopolita,Adj,1.0,N0,MAN
cosmopolitico,Adj,1.0,N0,MAN
cotado,Adj,1.0,N0,JALC
covarde,Adj,-1.0,N0,MAN
covardia,N,-1.0,N0,MAN
coveiro,Adj,-1.0,N0,MAN
coxo,Adj,-1.0,N0,MAN
crapula,Adj,-1.0,N0,MAN
crapuloso,Adj,-1.0,N0,MAN
craque,Adj,1.0,N0,MAN
crasso,Adj,-1.0,N0,JALC
credibilidade,N,1.0,N0,MAN
credivel,Adj,1.0,N0,MAN
credulo,Adj,0.0,N0,MAN
crente,Adj,0.0,N0,MAN
crescido,Adj,1.0,N0,MAN
crescidote,Adj,0.0,N0,MAN
cretinice,N,-1.0,N0,MAN
cretinismo,N,-1.0,N0,MAN
cretino,Adj,-1.0,N0,MAN
cretinoide,Adj,-1.0,N0,MAN
criacionista,Adj,0.0,N0,MAN
criancice,N,-1.0,N0,MAN
criatividade,N,1.0,N0,MAN
criativo,Adj,1.0,N0,MAN
criminalidade,N,-1.0,N0,MAN
criminoso,Adj,-1.0,N0,MAN
crisologo,Adj,1.0,N0,MAN
crisostomo,Adj,1.0,N0,MAN
crispacao,N,-1.0,N0,MAN
crispado,Adj,-1.0,N0,MAN
crispar-se,V,-1.0,N0,MAN
crispar,V,1.0,N0:N1,MAN
cristalino,Adj,1.0,N0,JALC
cristao,Adj,0.0,N0,MAN
criterioso,Adj,1.0,N0,JALC
criticar,V,0.0,N0:N1,MAN
criticavel,Adj,-1.0,N0,MAN
critico,Adj,0.0,N0,MAN
crivado,Adj,-1.0,N0,JALC
crivel,Adj,1.0,N0,MAN
cromo,Adj,-1.0,N0,MAN
cronico,Adj,0.0,N0,JALC
cru,Adj,-1.0,N0,MAN
crucial,Adj,0.0,N0,JALC
crucificador,Adj,-1.0,N0,MAN
crucificar,V,1.0,N0:N1,MAN
cruel,Adj,-1.0,N0,MAN
crueldade ,N,-1.0,N0,MAN
crueza,N,-1.0,N0,MAN
cruzar os bracos,IDIOM,-1.0,N0,MAN
cuidado,Adj,1.0,N0,MAN
cuidadoso,Adj,1.0,N0,MAN
culpa,N,-1.0,N0,MAN
culpabilizar,V,0.0,N0:N1,MAN
culpado,Adj,-1.0,N0,JALC
culpar,V,0.0,N0:N1,MAN
culpas,N,-1.0,N0,MAN
culposo,Adj,-1.0,N0,JALC
cultivado,Adj,1.0,N0,MAN
culto,Adj,1.0,N0,MAN
cultura democratica,N,1.0,N0,MAN
cumplice,Adj,0.0,N0,MAN
cumpridor,Adj,1.0,N0,MAN
curado,Adj,1.0,N0,JALC
curativo,Adj,0.0,N0,JALC
curial,Adj,1.0,N0,JALC
curioso,Adj,0.0,N0,MAN
curtido,Adj,1.0,N0,MAN
curto de vistas,Adj,-1.0,N0,MAN
curto,Adj,0.0,N0,JALC
curvado,Adj,-1.0,N0,MAN
curvar-se,V,-1.0,N0:N1,MAN
curvilineo,Adj,-1.0,N0,JALC
curvo,Adj,-1.0,N0,MAN
cuspido,Adj,-1.0,N0,JALC
custoso,Adj,0.0,N0,JALC
dadivoso,Adj,1.0,N0,MAN
dado,Adj,0.0,N0,MAN
daltonico,Adj,-1.0,N0,MAN
danado,Adj,-1.0,N0,MAN
danificado,Adj,-1.0,N0,JALC
danoso,Adj,-1.0,N0,JALC
dar a lingua,IDIOM,-1.0,N0,MAN
dar a sola,IDIOM,-1.0,N0,MAN
dar a soleta,IDIOM,-1.0,N0,MAN
dar a volta ao miolo,IDIOM,-1.0,N0,MAN
dar alegrias a,IDIOM,1.0,N0:N1,MAN
dar ao pe,IDIOM,-1.0,N0,MAN
dar bandeira,IDIOM,-1.0,N0,MAN
dar barraca,IDIOM,-1.0,N0,MAN
dar cabo da vida a,IDIOM,-1.0,N0:N1,MAN
dar cabo de,IDIOM,1.0,N0:N1,MAN
dar com a boca no trombone,IDIOM,-1.0,N0,MAN
dar com a lingua nos dentes,IDIOM,-1.0,N0,MAN
dar com os burros na agua,IDIOM,-1.0,N0,MAN
dar com os pes a,IDIOM,-1.0,N0:N1,MAN
dar conta do recado,IDIOM,1.0,N0,MAN
dar de frosques,IDIOM,-1.0,N0,MAN
dar graxa a,IDIOM,-1.0,N0:N1,MAN
dar no duro,IDIOM,1.0,N0,MAN
dar o corpo ao manifesto,IDIOM,-1.0,N0,MAN
dar o dito por nao dito,IDIOM,-1.0,N0,MAN
dar o golpe a,IDIOM,-1.0,N0:N1,MAN
dar o golpe do bau,IDIOM,-1.0,N0,MAN
dar o litro,IDIOM,1.0,N0,MAN
dar o primeiro passo,IDIOM,1.0,N0,MAN
dar palmadinhas nas costas a,IDIOM,-1.0,N0:N1,MAN
dar pontapes na gramatica,IDIOM,-1.0,N0,MAN
dar tiros nos pes,IDIOM,-1.0,N0,MAN
dar um baile a,IDIOM,1.0,N0:N1,MAN
dar um banho a,IDIOM,1.0,N0:N1,MAN
dar um banho de cultura a,IDIOM,1.0,N0:N1,MAN
dar um pontape no cu a,IDIOM,-1.0,N0:N1,MAN
dar um show de bola,IDIOM,1.0,N0,MAN
dar um tiro no pe,IDIOM,-1.0,N0,MAN
dar uma banhada a,IDIOM,1.0,N0:N1,MAN
dar uma coca a,IDIOM,1.0,N0:N1,MAN
dar uma licao a,IDIOM,1.0,N0:N1,MAN
dar uma licao de moral a,IDIOM,1.0,N0:N1,MAN
dar uma malha a,IDIOM,1.0,N0:N1,MAN
dar uma maozinha a,IDIOM,1.0,N0:N1,MAN
dar uma no cravo e outra na ferradura,IDIOM,-1.0,N0,MAN
dar uma surra a,IDIOM,1.0,N0:N1,MAN
dar voltas no caixao,IDIOM,-1.0,N0,MAN
dardejante,Adj,0.0,N0,MAN
davida,N,1.0,N0,MAN
deambulacao,N,-1.0,N0,MAN
deambulante,Adj,-1.0,N0,MAN
deambular,V,-1.0,N0,MAN
debandado,Adj,-1.0,N0,JALC
debil,Adj,-1.0,N0,MAN
debilidade,N,-1.0,N0,MAN
debilitacao,N,-1.0,N0,MAN
debilitado,Adj,-1.0,N0,MAN
debilitar,V,1.0,N0:N1,MAN
debochado,Adj,-1.0,N0,MAN
deboche,N,-1.0,N0,MAN
decadencia,N,-1.0,N0,MAN
decadente,Adj,-1.0,N0,MAN
decadentista,Adj,-1.0,N0,MAN
decaido,Adj,-1.0,N0,MAN
decapitar,V,1.0,N0:N1,MAN
decencia,N,1.0,N0,MAN
decente,Adj,1.0,N0,MAN
decepado,Adj,-1.0,N0,JALC
decepar,V,1.0,N0:N1,MAN
decepcao,N,-1.0,N0,MAN
decepcionado,Adj,-1.0,N0,JALC
decepcionante,Adj,-1.0,N0,MAN
decepcionar,V,-1.0,N0:N1,MAN
decidido,Adj,1.0,N0,MAN
decisivo,Adj,0.0,N0,JALC
decoro,N,1.0,N0,MAN
decoroso,Adj,1.0,N0,MAN
decrepidez,N,-1.0,N0,MAN
decrepito,Adj,-1.0,N0,MAN
dedicacao,N,1.0,N0,MAN
dedicado,Adj,1.0,N0,MAN
defeituoso,Adj,-1.0,N0,MAN
defensiva,N,-1.0,N0,MAN
defensor,Adj,1.0,N0,JALC
deferente,Adj,1.0,N0,MAN
deferido,Adj,1.0,N0,JALC
defesso,Adj,-1.0,N0,MAN
deficiente,Adj,-1.0,N0,JALC
definhado,Adj,-1.0,N0,MAN
definhamento,N,-1.0,N0,MAN
deformacao,N,-1.0,N0,MAN
deformado,Adj,-1.0,N0,MAN
defraudar as expectativas de,IDIOM,-1.0,N0:N1,MAN
defraudar,V,-1.0,N0:N1,MAN
defunto,Adj,-1.0,N0,JALC
degenerado,Adj,-1.0,N0,MAN
degradado,Adj,-1.0,N0,JALC
degradante,Adj,-1.0,N0,MAN
degredado,Adj,-1.0,N0,MAN
degredo,N,-1.0,N0,MAN
deicida,Adj,-1.0,N0,MAN
deitar achas na fogueira,IDIOM,-1.0,N0,MAN
deitar agua na fervura,IDIOM,1.0,N0,MAN
deitar as unhas a,IDIOM,-1.0,N0,MAN
deitar foguetes antes da festa,IDIOM,-1.0,N0,MAN
deitar lenha na fogueira,IDIOM,-1.0,N0,MAN
deitar poeira aos olhos a,IDIOM,-1.0,N0:N1,MAN
deitar poeira para os olhos de,IDIOM,-1.0,N0:N1,MAN
deitar tudo a perder,IDIOM,-1.0,N0,MAN
deitar tudo para tras das costas,IDIOM,-1.0,N0,MAN
deitar tudo por agua abaixo,IDIOM,-1.0,N0,MAN
deixar com as calcas na mao,IDIOM,-1.0,N0:N1,MAN
deixar com as maos a abanar,IDIOM,-1.0,N0:N1,MAN
deixar de rastos,IDIOM,-1.0,N0:N1,MAN
deixar muito a desejar,IDIOM,-1.0,N0,MAN
deixar o barco a deriva,IDIOM,-1.0,N0,MAN
deixar o pais de tanga,IDIOM,-1.0,N0,MAN
deixar tudo para depois,IDIOM,-1.0,N0,MAN
deixar-se levar,IDIOM,-1.0,N0,MAN
delambido,Adj,-1.0,N0,MAN
deleitoso,Adj,1.0,N0,JALC
deleterio,Adj,-1.0,N0,JALC
delgado,Adj,0.0,N0,MAN
delicadeza,N,1.0,N0,MAN
delicado,Adj,1.0,N0,MAN
delicioso,Adj,1.0,N0,MAN
delinquencia,N,-1.0,N0,MAN
delinquente,Adj,-1.0,N0,MAN
delirar,V,-1.0,N0,MAN
delituoso,Adj,-1.0,N0,MAN
demagogia,N,-1.0,N0,MAN
demagogico,Adj,-1.0,N0,MAN
demagogo,Adj,-1.0,N0,MAN
demarcado,Adj,-1.0,N0,JALC
demencia,N,-1.0,N0,MAN
demente,Adj,-1.0,N0,MAN
demerito,Adj,-1.0,N0,JALC
demitido,Adj,-1.0,N0,JALC
democracia,N,1.0,N0,MAN
democrata,Adj,0.0,N0,MAN
democraticidade,N,1.0,N0,MAN
democratico,Adj,1.0,N0,MAN
demode,Adj,-1.0,N0,JALC
demolidor,Adj,-1.0,N0,JALC
demoniaco,Adj,-1.0,N0,MAN
demorado,Adj,-1.0,N0,MAN
denegrido,Adj,-1.0,N0,MAN
denegrir a imagem de,IDIOM,0.0,N0:N1,MAN
denegrir a sua imagem,IDIOM,-1.0,N0,MAN
denegrir,V,0.0,N0:N1,MAN
dengoso,Adj,-1.0,N0,MAN
denodado,Adj,1.0,N0,JALC
depauperado,Adj,-1.0,N0,JALC
depenado,Adj,-1.0,N0,MAN
dependurado,Adj,-1.0,N0,JALC
deploracao,N,-1.0,N0,MAN
deploravel,Adj,-1.0,N0,MAN
deportado,Adj,-1.0,N0,JALC
deposto,Adj,-1.0,N0,JALC
depravacao,N,-1.0,N0,MAN
depravado,Adj,-1.0,N0,MAN
depravador,Adj,-1.0,N0,MAN
depreciado,Adj,-1.0,N0,JALC
depreciar,V,-1.0,N0:N1,MAN
depreciativo,Adj,-1.0,N0,MAN
depressao maniaca,N,-1.0,N0,MAN
depressao,N,-1.0,N0,MAN
depressivo,Adj,-1.0,N0,MAN
depressor,Adj,-1.0,N0,JALC
deprimencia,N,-1.0,N0,MAN
deprimente,Adj,-1.0,N0,MAN
deprimido,Adj,-1.0,N0,MAN
depurado,Adj,0.0,N0,JALC
derramado,Adj,-1.0,N0,JALC
derreado,Adj,-1.0,N0,MAN
derreamento,N,-1.0,N0,MAN
derrear,V,1.0,N0:N1,MAN
derreter,V,1.0,N0:N1,MAN
derrota,N,-1.0,N0,MAN
derrotado,Adj,-1.0,N0,JALC
derrotar,V,1.0,N0:N1,MAN
derrotismo,N,-1.0,N0,MAN
derrotista,Adj,-1.0,N0,MAN
derrubado,Adj,-1.0,N0,JALC
derrubar,V,1.0,N0:N1,MAN
desabonado,Adj,-1.0,N0,MAN
desabrido,Adj,-1.0,N0,MAN
desabrigado,Adj,-1.0,N0,MAN
desabusado,Adj,-1.0,N0,MAN
desacompanhado,Adj,-1.0,N0,MAN
desacordado,Adj,-1.0,N0,JALC
desacreditado,Adj,-1.0,N0,JALC
desacreditar,V,1.0,N0:N1,MAN
desactualizado,Adj,-1.0,N0,JALC
desadaptado,Adj,-1.0,N0,MAN
desafectado,Adj,1.0,N0,JALC
desafecto,Adj,-1.0,N0,JALC
desafetado,Adj,1.0,N0,JALC
desafeto,Adj,-1.0,N0,JALC
desafiador,Adj,0.0,N0,MAN
desafiante,Adj,0.0,N0,MAN
desafinacao,N,-1.0,N0,MAN
desafinado,Adj,-1.0,N0,MAN
desafogado,Adj,1.0,N0,MAN
desaforado,Adj,-1.0,N0,MAN
desaforido,Adj,-1.0,N0,MAN
desafortunado,Adj,-1.0,N0,MAN
desagradado,Adj,-1.0,N0,JALC
desagradavel,Adj,-1.0,N0,MAN
desagradecido,Adj,-1.0,N0,MAN
desagrado,N,-1.0,N0,MAN
desaire,N,-1.0,N0,MAN
desairoso,Adj,-1.0,N0,MAN
desajeitado,Adj,-1.0,N0,MAN
desajustado,Adj,-1.0,N0,JALC
desalentado,Adj,-1.0,N0,MAN
desalento,N,-1.0,N0,MAN
desalinhado,Adj,-1.0,N0,MAN
desalinhamento,N,-1.0,N0,MAN
desalmado,Adj,-1.0,N0,MAN
desalojado,Adj,-1.0,N0,MAN
desamparado,Adj,-1.0,N0,MAN
desamparo,N,-1.0,N0,MAN
desancar,V,1.0,N0:N1,MAN
desanimacao,N,-1.0,N0,MAN
desanimado,Adj,-1.0,N0,JALC
desanimador,Adj,-1.0,N0,MAN
desanimo,N,-1.0,N0,MAN
desapaixonado,Adj,-1.0,N0,MAN
desaparafusado,Adj,-1.0,N0,MAN
desaparecer do mapa,IDIOM,-1.0,N0,MAN
desaparecido,Adj,-1.0,N0,JALC
desapegado,Adj,-1.0,N0,JALC
desapiedado,Adj,-1.0,N0,MAN
desapontado,Adj,-1.0,N0,JALC
desapontador,Adj,-1.0,N0,JALC
desapossado,Adj,-1.0,N0,JALC
desapropriado,Adj,-1.0,N0,JALC
desaprovador,Adj,-1.0,N0,MAN
desaproveitado,Adj,-1.0,N0,MAN
desarmante,Adj,1.0,N0,JALC
desarmar,V,1.0,N0:N1,MAN
desarranjado,Adj,-1.0,N0,MAN
desarrazoado,Adj,-1.0,N0,JALC
desarrumado,Adj,-1.0,N0,JALC
desarticulado,Adj,-1.0,N0,JALC
desassisado,Adj,-1.0,N0,JALC
desassombrado,Adj,0.0,N0,MAN
desassossegado,Adj,-1.0,N0,MAN
desassossego,N,-1.0,N0,MAN
desastrado,Adj,-1.0,N0,MAN
desastre,N,-1.0,N0,MAN
desastroso,Adj,-1.0,N0,MAN
desatado,Adj,0.0,N0,JALC
desatento,Adj,-1.0,N0,JALC
desatinado,Adj,-1.0,N0,MAN
desatualizado,Adj,-1.0,N0,JALC
desaustinado,Adj,-1.0,N0,MAN
desavergonhado,Adj,-1.0,N0,MAN
desavisado,Adj,-1.0,N0,JALC
desbaratado,Adj,-1.0,N0,JALC
desbaratador,Adj,-1.0,N0,JALC
desbocado,Adj,-1.0,N0,MAN
desbocamento,N,-1.0,N0,MAN
desbotado,Adj,-1.0,N0,JALC
desbragado,Adj,-1.0,N0,MAN
desbravador,Adj,0.0,N0,JALC
descabelado,Adj,-1.0,N0,MAN
descabelar-se,V,-1.0,N0,MAN
descabelar,V,1.0,N0:N1,MAN
descabido,Adj,-1.0,N0,JALC
descadeirado,Adj,-1.0,N0,MAN
descalabro,N,-1.0,N0,MAN
descalco,Adj,-1.0,N0,MAN
descamisado,Adj,-1.0,N0,MAN
descansado,Adj,0.0,N0,JALC
descarado,Adj,-1.0,N0,MAN
descaramento,N,-1.0,N0,MAN
descarnado,Adj,-1.0,N0,MAN
descascado,Adj,-1.0,N0,MAN
descautelado,Adj,-1.0,N0,MAN
descer ao mais baixo nivel,IDIOM,-1.0,N0,MAN
descer nas sondagens,IDIOM,-1.0,N0,MAN
descerimonioso,Adj,1.0,N0,MAN
descerrado,Adj,-1.0,N0,JALC
desclassificado,Adj,-1.0,N0,JALC
descobridor,Adj,0.0,N0,JALC
descomedido,Adj,-1.0,N0,MAN
descomedimento,N,-1.0,N0,MAN
descomplexado,Adj,1.0,N0,MAN
descomprometido,Adj,0.0,N0,MAN
descompromissado,Adj,0.0,N0,JALC
desconcentracao,N,-1.0,N0,MAN
desconcentrado,Adj,-1.0,N0,MAN
desconcertado,Adj,-1.0,N0,JALC
desconexo,Adj,-1.0,N0,JALC
desconfiado,Adj,-1.0,N0,MAN
desconfortavel,Adj,-1.0,N0,MAN
desconhecedor,Adj,-1.0,N0,JALC
desconsideracao,N,-1.0,N0,MAN
desconsiderado,Adj,0.0,N0,JALC
desconsolacao,N,-1.0,N0,MAN
desconsolado,Adj,-1.0,N0,MAN
descontentamento,N,-1.0,N0,MAN
descontente,Adj,-1.0,N0,MAN
descontraido,Adj,1.0,N0,MAN
descontrolado,Adj,-1.0,N0,MAN
descontrolo,N,-1.0,N0,MAN
descoordenacao,N,-1.0,N0,MAN
descoordenado,Adj,-1.0,N0,MAN
descorado,Adj,-1.0,N0,MAN
descorocoado,Adj,-1.0,N0,MAN
descortes,Adj,-1.0,N0,MAN
descortesia,N,-1.0,N0,MAN
descrente,Adj,0.0,N0,MAN
descuidado,Adj,-1.0,N0,MAN
descuido,N,-1.0,N0,MAN
desculpado,Adj,0.0,N0,JALC
desculpavel,Adj,0.0,N0,JALC
desdem,N,-1.0,N0,MAN
desdenhar,V,-1.0,N0:N1,MAN
desdenhoso,Adj,-1.0,N0,MAN
desdentado,Adj,-1.0,N0,MAN
desdito,Adj,-1.0,N0,JALC
desditoso,Adj,-1.0,N0,MAN
desejavel,Adj,1.0,N0,JALC
deselegancia,N,-1.0,N0,MAN
deselegante,Adj,-1.0,N0,MAN
desembaracado,Adj,1.0,N0,MAN
desemparelhado,Adj,-1.0,N0,JALC
desempenado,Adj,1.0,N0,MAN
desempregado,Adj,-1.0,N0,MAN
desemprego,N,-1.0,N0,MAN
desencalhado,Adj,0.0,N0,MAN
desencalhe ,N,-1.0,N0,MAN
desencaminhado,Adj,-1.0,N0,MAN
desencaminhador,Adj,-1.0,N0,MAN
desencaminhamento,N,-1.0,N0,MAN
desencantado,Adj,0.0,N0,JALC
desencontrado,Adj,-1.0,N0,JALC
desengoncado,Adj,-1.0,N0,MAN
desengracado,Adj,-1.0,N0,MAN
desenrascado,Adj,1.0,N0,MAN
desenvencilhado,Adj,1.0,N0,MAN
desenvolto,Adj,1.0,N0,MAN
desenvoltura,N,1.0,N0,MAN
desenxabidez,N,-1.0,N0,MAN
desenxabido,Adj,-1.0,N0,MAN
desequilibrado,Adj,-1.0,N0,MAN
desequilibrio,N,-1.0,N0,MAN
desertar,V,-1.0,N0,MAN
desertor,Adj,-1.0,N0,JALC
desesperado,Adj,-1.0,N0,MAN
desesperanca,N,-1.0,N0,MAN
desesperancado,Adj,-1.0,N0,MAN
desespero,N,-1.0,N0,MAN
desestabilizador,Adj,-1.0,N0,MAN
desfalcar,V,-1.0,N0:N1,MAN
desfalecido,Adj,-1.0,N0,JALC
desfasado,Adj,-1.0,N0,MAN
desfavorecido,Adj,-1.0,N0,MAN
desfeito,Adj,-1.0,N0,JALC
desfigurado,Adj,-1.0,N0,MAN
desforrar-se,V,1.0,N0:N1,MAN
desfrutado,Adj,1.0,N0,JALC
desgarrado,Adj,-1.0,N0,JALC
desgastado,Adj,-1.0,N0,MAN
desgaste,N,-1.0,N0,MAN
desgosto,N,-1.0,N0,MAN
desgostoso,Adj,-1.0,N0,JALC
desgovernacao,N,-1.0,N0,MAN
desgovernado,Adj,-1.0,N0,MAN
desgoverno,N,-1.0,N0,MAN
desgraca,N,-1.0,N0,MAN
desgracado,Adj,-1.0,N0,MAN
desgracioso,Adj,-1.0,N0,MAN
desgrenhado,Adj,-1.0,N0,JALC
desidratacao,N,-1.0,N0,MAN
desiludido,Adj,-1.0,N0,JALC
desimpedido,Adj,0.0,N0,MAN
desinfeliz,Adj,-1.0,N0,MAN
desinformacao,N,-1.0,N0,MAN
desinformado,Adj,-1.0,N0,MAN
desinibido,Adj,1.0,N0,MAN
desinstruido,Adj,-1.0,N0,MAN
desinteressado,Adj,-1.0,N0,MAN
desinteressante,Adj,-1.0,N0,MAN
desinteresse,N,-1.0,N0,MAN
desistir,V,-1.0,N0:N1,MAN
deslambido,Adj,-1.0,N0,JALC
deslavado,Adj,-1.0,N0,MAN
desleal,Adj,-1.0,N0,MAN
deslealdade,N,-1.0,N0,MAN
desleixado,Adj,-1.0,N0,MAN
desleixar-se,V,-1.0,N0,MAN
desleixo ,N,-1.0,N0,MAN
desligado,Adj,-1.0,N0,JALC
deslocado,Adj,-1.0,N0,JALC
deslumbrante,Adj,1.0,N0,MAN
deslumbrar,V,1.0,N0:N1,MAN
desmaiado,Adj,-1.0,N0,JALC
desmanchado,Adj,-1.0,N0,JALC
desmantelado,Adj,-1.0,N0,JALC
desmascarar,V,1.0,N0:N1,MAN
desmazelado,Adj,-1.0,N0,MAN
desmazelamento,N,-1.0,N0,MAN
desmazelo,N,-1.0,N0,MAN
desmedido,Adj,-1.0,N0,JALC
desmemoriado,Adj,-1.0,N0,JALC
desmentido,Adj,-1.0,N0,JALC
desmentir,V,0.0,N0:N1,MAN
desmesurado,Adj,-1.0,N0,JALC
desmiolado,Adj,-1.0,N0,MAN
desmontado,Adj,-1.0,N0,JALC
desmoralizacao,N,-1.0,N0,MAN
desmoralizado,Adj,-1.0,N0,MAN
desmoralizador,Adj,-1.0,N0,MAN
desmoronar-se,V,-1.0,N0,MAN
desmotivacao,N,-1.0,N0,MAN
desmotivado,Adj,-1.0,N0,MAN
desmotivador,Adj,-1.0,N0,MAN
desnaturado,Adj,-1.0,N0,MAN
desnaturalizado,Adj,0.0,N0,MAN
desnorteado,Adj,-1.0,N0,MAN
desnorteamento,N,-1.0,N0,MAN
desnudado,Adj,0.0,N0,MAN
desnudo,Adj,0.0,N0,MAN
desnutricao,N,-1.0,N0,MAN
desobediencia,N,-1.0,N0,MAN
desobediente,Adj,-1.0,N0,MAN
desobrigado,Adj,0.0,N0,JALC
desocupado,Adj,-1.0,N0,JALC
desolacao,N,-1.0,N0,MAN
desolado,Adj,-1.0,N0,MAN
desolador,Adj,-1.0,N0,MAN
desolhado,Adj,-1.0,N0,MAN
desonestidade,N,-1.0,N0,MAN
desonesto,Adj,-1.0,N0,MAN
desonra,N,-1.0,N0,MAN
desonrado,Adj,-1.0,N0,JALC
desonrar,V,-1.0,N0:N1,MAN
desonroso,Adj,-1.0,N0,MAN
desordeiro,Adj,-1.0,N0,MAN
desordem,N,-1.0,N0,MAN
desordenado,Adj,-1.0,N0,JALC
desorganizacao,N,-1.0,N0,MAN
desorganizado,Adj,-1.0,N0,MAN
desorientacao,N,-1.0,N0,MAN
desorientado,Adj,-1.0,N0,MAN
despachado,Adj,1.0,N0,MAN
despassarado,Adj,-1.0,N0,JALC
despegado,Adj,0.0,N0,JALC
despeitado,Adj,-1.0,N0,MAN
despeitar,V,-1.0,N0:N1,MAN
despeito,N,-1.0,N0,MAN
despeitorado,Adj,-1.0,N0,MAN
despejado,Adj,-1.0,N0,JALC
despenteado,Adj,-1.0,N0,MAN
despercebido,Adj,-1.0,N0,JALC
desperdicado,Adj,-1.0,N0,JALC
desperdicador,Adj,-1.0,N0,MAN
desperto,Adj,1.0,N0,JALC
despesista,Adj,-1.0,N0,MAN
despirocado,Adj,-1.0,N0,JALC
despistado,Adj,-1.0,N0,MAN
desplante,N,-1.0,N0,MAN
despojado,Adj,0.0,N0,JALC
despotico,Adj,-1.0,N0,MAN
despregado,Adj,-1.0,N0,JALC
desprendido,Adj,0.0,N0,MAN
despreocupacao,N,-1.0,N0,MAN
despreocupado,Adj,0.0,N0,MAN
despretensioso,Adj,1.0,N0,MAN
desprevencao,N,-1.0,N0,MAN
desprevenido,Adj,-1.0,N0,MAN
desprezado,Adj,-1.0,N0,JALC
desprezavel,Adj,-1.0,N0,JALC
desprezivel,Adj,-1.0,N0,MAN
desprezo,N,-1.0,N0,MAN
desprimoroso,Adj,-1.0,N0,MAN
desproporcionado,Adj,-1.0,N0,JALC
despropositado,Adj,-1.0,N0,MAN
desproposito,N,-1.0,N0,MAN
desprotegido,Adj,-1.0,N0,MAN
despudor,N,-1.0,N0,MAN
despudorado,Adj,-1.0,N0,MAN
desqualificado,Adj,-1.0,N0,JALC
desregrado,Adj,-1.0,N0,MAN
desregulado,Adj,-1.0,N0,JALC
desremediado,Adj,-1.0,N0,MAN
desrespeitado,Adj,-1.0,N0,JALC
desrespeitador,Adj,-1.0,N0,MAN
desrespeitar,V,-1.0,N0:N1,MAN
desrespeito,N,-1.0,N0,MAN
desrespeitoso,Adj,-1.0,N0,MAN
destabilizador,Adj,-1.0,N0,MAN
destampado,Adj,-1.0,N0,JALC
destapado,Adj,-1.0,N0,JALC
destemido,Adj,1.0,N0,MAN
destemperado,Adj,-1.0,N0,JALC
desterrado,Adj,-1.0,N0,JALC
destoante,Adj,-1.0,N0,MAN
destrambelhado,Adj,-1.0,N0,MAN
destrambelhamento,N,-1.0,N0,MAN
destratado,Adj,-1.0,N0,JALC
destravado,Adj,-1.0,N0,MAN
destrocado,Adj,-1.0,N0,MAN
destroco,N,-1.0,N0,MAN
